income,female,age,job,num_dependents,rent,own_res,new_car,chk_acct,sav_acct,num_accts,mobile,customer_id
30010,0,40,2,1,1,0,0,1,0,3,0,H1597
30510,0,54,2,1,0,1,0,0,0,2,0,P1446
12880,0,48,2,2,0,1,0,0,1,4,0,E1492
15530,0,44,2,1,0,1,0,0,0,2,0,W5143
46230,0,40,3,1,0,1,0,3,1,2,0,W4927
17430,0,34,1,1,0,1,0,3,1,2,0,M6161
53020,0,36,3,1,0,0,1,0,0,4,0,U4472
27820,0,31,3,1,0,1,1,3,2,3,0,H557
7070,0,30,2,1,0,1,0,3,0,2,0,B54
14120,0,29,3,1,0,1,0,3,0,2,0,L2217
4580,0,24,2,1,0,1,0,1,0,2,0,M8502
13660,0,22,2,1,1,0,0,0,0,1,0,I2671
19010,0,29,3,1,1,0,0,3,1,2,0,E5979
23200,0,34,2,1,0,1,0,3,0,0,0,N6079
16200,0,30,2,1,0,1,0,0,0,2,0,A9908
67610,0,68,2,1,1,0,1,3,4,2,0,U1910
6740,0,20,2,1,0,1,0,0,1,3,0,O7522
19080,0,66,3,1,0,1,0,2,0,4,0,Q2420
37570,0,62,2,1,0,0,1,3,0,4,0,M3269
38780,1,37,2,1,0,1,1,1,1,1,0,H36
60700,0,33,2,1,0,1,0,3,0,4,0,L9955
59540,0,41,1,1,0,1,0,1,0,3,0,U4372
13300,0,26,2,1,0,1,1,2,0,1,0,P9980
21410,0,35,2,1,0,1,0,3,1,3,0,K1963
94360,0,39,1,2,0,1,0,3,4,2,1,V1113
18870,0,28,2,1,0,1,0,1,4,2,0,I2502
23370,0,36,2,1,0,1,0,1,0,4,0,P6788
51290,0,74,3,2,0,0,0,1,0,4,1,L5757
95660,0,31,2,1,0,1,0,3,0,2,0,G4152
3380,0,52,2,1,0,1,0,0,2,4,0,O7271
15460,0,24,1,1,1,0,0,0,0,3,0,G5725
21450,0,24,2,1,0,1,0,0,0,3,0,O5759
23260,0,27,2,1,0,1,0,1,2,2,0,L5882
13660,0,22,2,1,1,0,0,0,0,1,0,D2222
14100,0,35,2,1,0,1,0,1,2,4,0,Q1032
27180,0,20,1,1,1,0,1,1,0,2,0,O7340
60700,0,33,2,1,0,1,0,3,0,4,0,D6102
42720,0,26,1,1,0,1,0,3,1,2,0,O9477
46230,0,40,3,1,0,1,0,3,1,2,0,L9563
49330,0,25,2,1,0,1,0,1,0,3,0,L7420
10920,0,49,2,1,0,1,0,1,0,2,0,V4331
60700,0,33,2,1,0,1,0,3,0,4,0,S1741
25200,0,23,1,1,0,1,0,1,2,2,0,L4335
7170,0,52,2,1,0,1,0,3,0,4,0,N7592
22350,0,33,2,1,1,0,1,0,0,2,0,G9150
23310,0,49,2,1,0,1,0,3,4,4,0,B9027
76850,0,37,2,1,1,0,0,0,0,3,0,K8118
19530,0,61,3,1,0,0,0,1,0,4,0,A1989
41690,0,28,2,1,0,1,0,0,0,2,0,W494
10550,0,30,2,1,0,1,1,3,0,1,0,Z4767
14420,0,32,1,2,0,0,1,0,0,3,0,S5875
11310,0,33,2,1,0,1,0,0,0,0,0,V962
24060,0,31,3,1,0,1,0,3,0,0,0,X9460
59650,0,30,3,1,0,1,0,1,0,4,1,O1619
11630,0,44,2,1,0,1,1,3,2,2,0,O9166
7500,0,27,0,1,0,1,0,0,0,0,0,H1271
27750,0,31,2,1,0,1,1,3,0,3,0,R6591
9000,0,23,2,1,0,1,1,0,4,2,0,G7796
47460,0,25,1,1,0,1,0,1,0,1,0,H7602
94360,0,39,1,2,0,1,0,3,4,2,1,S6687
80860,0,42,3,1,0,1,1,1,1,4,0,S1150
26590,0,28,2,1,0,1,0,0,3,2,0,E8462
59650,0,30,3,1,0,1,0,1,0,4,1,H6142
18370,0,34,1,1,0,0,0,1,0,3,0,J8312
9310,0,32,1,1,0,1,1,1,1,1,0,C1689
8840,0,36,2,2,0,1,1,1,0,4,0,S103
41690,0,28,2,1,0,1,0,0,0,2,0,O3214
71190,0,53,2,2,0,0,0,0,0,2,0,D2679
62600,0,28,1,1,1,0,1,1,0,3,0,Z8197
11490,0,46,2,1,0,1,0,3,3,2,0,O9273
12230,1,46,2,1,1,0,1,1,0,4,0,U1269
11540,0,57,1,1,0,1,0,3,1,0,0,W9069
48430,0,43,2,1,1,0,1,0,0,4,0,W6009
12250,0,37,2,1,0,1,0,2,0,2,0,U3974
3380,0,52,2,1,0,1,0,0,2,4,0,Q6609
20580,1,33,2,1,0,1,0,3,0,2,0,Q7619
64160,0,59,2,1,1,0,0,1,0,4,0,H5180
26220,0,34,2,1,0,1,0,1,1,2,0,A3915
15370,0,50,2,1,0,1,0,1,4,4,0,K9583
13130,0,20,2,1,0,1,0,3,0,4,0,J486
67580,0,31,2,1,0,1,0,0,0,2,0,K1521
26590,0,28,2,1,0,1,0,0,3,2,0,E6912
71190,0,53,2,2,0,0,0,0,0,2,0,I7219
21500,0,24,2,1,0,1,1,1,0,2,0,K1075
19430,0,23,2,1,0,1,0,3,0,1,0,T4607
7170,0,52,2,1,0,1,0,3,0,4,0,H6367
49330,0,25,2,1,0,1,0,1,0,3,0,D3937
89780,1,45,3,1,0,1,1,0,0,4,0,A9819
26470,0,44,2,2,1,0,0,0,2,2,0,U6728
38120,0,23,2,1,0,1,0,3,1,1,1,M3126
22100,0,25,1,1,1,0,0,3,0,2,0,U1524
14240,0,55,3,1,0,1,0,2,4,4,0,C2986
19350,1,31,2,1,0,1,0,1,0,4,0,C937
22100,0,25,1,1,1,0,0,3,0,2,0,D267
115900,0,24,1,1,1,0,0,3,1,2,1,T3076
11750,0,68,0,1,0,0,1,1,0,0,0,T7354
106230,0,38,3,2,0,0,0,0,0,4,1,Z9509
10070,0,22,2,1,0,1,1,1,3,2,0,Q4118
12740,0,37,1,1,0,1,1,0,0,1,0,H5172
13520,0,23,0,1,1,0,0,0,2,0,1,F669
79800,0,27,2,1,1,0,0,3,4,1,0,U6236
83180,0,42,3,1,0,0,0,1,0,4,0,S3499
25070,0,51,1,1,0,0,1,3,2,4,0,F4204
50960,0,30,3,1,0,1,0,1,0,2,0,T9539
22350,0,33,2,1,1,0,1,0,0,2,0,W6740
