"answered","income","female","age","job","num_dependents","rent","own_res","new_car","chk_acct","sav_acct","num_accts","mobile","product"
1,13520,0,23,0,1,1,0,0,0,2,0,1,2
0,14780,0,22,2,1,0,1,0,3,0,3,0,0
1,37570,0,62,2,1,0,0,1,3,0,4,0,4
0,12450,0,33,2,1,0,1,0,1,0,2,0,0
0,12400,0,48,1,2,0,0,1,2,1,4,0,0
1,14030,0,28,2,1,1,0,1,0,0,2,0,4
1,9320,0,24,2,1,0,1,0,3,0,2,0,2
1,11750,0,68,0,1,0,0,1,1,0,0,0,3
1,69670,0,36,3,1,1,0,0,1,1,3,0,4
1,3380,0,52,2,1,0,1,0,0,2,4,0,4
1,40200,0,27,2,1,0,1,0,0,0,2,0,2
1,14730,0,39,2,1,0,1,0,3,0,1,0,4
0,68500,0,34,3,2,0,1,1,1,1,0,0,0
1,7010,0,32,2,1,0,1,0,3,0,2,0,2
1,19500,0,34,2,1,0,1,0,3,0,3,0,1
1,21340,0,48,2,1,0,1,1,3,0,2,0,4
1,12360,0,23,2,1,1,0,0,3,0,1,0,4
1,27790,0,21,2,1,1,0,0,1,0,2,1,3
1,12830,0,25,2,1,1,0,1,3,4,3,0,4
1,19250,0,26,2,1,0,1,0,2,0,2,0,2
0,50030,0,29,2,1,0,1,1,3,4,2,0,0
1,35180,0,26,2,1,1,0,1,3,0,2,0,3
1,27450,0,32,2,1,0,1,0,1,3,3,0,2
0,15460,0,24,1,1,1,0,0,0,0,3,0,0
0,7950,0,53,2,1,0,1,0,0,0,1,0,0
0,68360,0,63,2,1,0,1,0,0,0,4,0,0
0,12460,0,23,1,1,0,1,1,1,0,1,0,0
0,12820,0,32,1,1,0,1,0,0,1,2,0,0
1,28720,0,36,2,2,0,1,0,3,1,4,0,4
1,23310,0,49,2,1,0,1,0,3,4,4,0,4
1,7300,0,46,1,1,1,0,0,3,4,4,0,2
1,20730,0,28,2,1,0,1,0,3,1,2,0,2
1,12620,0,25,2,1,0,1,0,3,0,2,0,2
0,9310,0,32,1,1,0,1,1,1,1,1,0,0
0,14420,0,32,1,2,0,0,1,0,0,3,0,0
1,47950,0,30,3,1,0,1,0,1,0,1,0,1
1,24040,0,26,2,1,0,1,0,3,0,2,0,2
1,31860,0,20,2,1,1,0,1,3,3,3,0,3
1,38500,0,27,2,1,0,1,0,3,0,3,1,1
0,18640,0,30,2,1,0,1,0,3,1,2,0,0
0,35520,0,27,2,1,0,1,0,0,0,3,0,0
1,19570,0,31,2,1,0,1,0,0,0,3,0,4
0,48170,0,31,2,1,0,1,1,0,0,3,0,0
1,21460,0,23,2,1,1,0,0,3,0,1,0,3
1,21080,0,29,2,1,1,0,0,3,0,3,0,2
0,83180,0,42,3,1,0,0,0,1,0,4,0,0
1,27600,0,36,2,1,0,0,0,1,4,4,1,4
0,18370,0,34,1,1,0,0,0,1,0,3,0,0
0,12460,0,23,1,1,0,1,1,1,0,1,0,0
1,14180,0,35,1,1,1,0,1,3,1,2,0,2
1,53020,0,36,3,1,0,0,1,0,0,4,0,4
0,34410,0,21,2,1,1,0,0,1,1,2,0,0
1,23150,0,52,1,1,0,1,0,0,0,4,0,4
0,29690,0,25,2,1,1,0,0,1,0,1,0,0
1,8460,0,36,2,1,0,0,0,3,4,4,0,4
1,63040,0,36,2,1,0,1,0,3,4,4,0,4
1,12870,0,45,1,1,0,1,1,3,4,4,0,2
1,12620,0,25,2,1,0,1,0,3,0,2,0,2
0,64580,0,39,3,2,0,1,1,3,0,4,0,0
1,10550,0,30,2,1,0,1,1,3,0,1,0,1
1,4260,0,39,1,1,0,1,0,3,0,4,0,4
1,10920,0,49,2,1,0,1,0,1,0,2,0,4
1,13300,0,26,2,1,0,1,1,2,0,1,0,1
0,45910,0,54,3,1,0,1,0,3,3,2,0,0
1,2760,0,22,1,1,1,0,1,1,0,2,0,4
0,27120,0,41,2,2,0,1,0,0,0,4,0,0
1,27820,0,31,3,1,0,1,1,3,2,3,0,2
0,126800,0,30,3,1,0,0,1,3,4,4,0,0
1,17660,0,21,2,1,1,0,0,3,0,2,0,2
0,12850,0,32,2,1,1,0,1,0,4,3,0,0
1,23150,0,52,1,1,0,1,0,0,0,4,0,4
0,19220,0,37,1,1,0,1,0,1,0,2,0,0
0,35520,0,27,2,1,0,1,0,0,0,3,0,0
1,10680,0,28,2,2,0,1,0,1,0,4,0,4
0,42810,0,23,2,1,0,1,0,0,2,2,0,0
1,14120,0,29,3,1,0,1,0,3,0,2,0,2
1,12950,0,27,2,1,0,1,0,1,0,1,0,1
0,30510,0,54,2,1,0,1,0,0,0,2,0,0
