"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2024,210,181,29,0,0,0,0,84,53,39,0,0,98,112,0
"Alabama","Clay",2024,212,176,36,0,0,0,0,75,53,29,0,0,0,212,0
"Alabama","DeKalb",2024,244,182,62,0,0,0,0,87,58,44,0,0,170,74,0
"Alabama","Elmore",2024,144,142,2,0,0,0,0,58,47,37,0,0,144,0,0
"Alabama","Etowah",2024,212,125,87,0,0,0,0,93,61,47,0,0,57,155,0
"Alabama","Jefferson",2024,22,16,6,0,0,0,0,88,67,40,0,0,0,22,0
"Alabama","Lawrence",2024,17,14,3,0,0,0,0,72,57,19,0,0,0,17,0
"Alabama","Madison",2024,181,124,57,0,0,0,0,89,58,44,0,0,76,105,0
"Alabama","Mobile",2024,212,135,77,0,0,0,0,80,58,46,0,0,59,152,1
"Alabama","Montgomery",2024,205,138,67,0,0,0,0,75,57,44,0,0,67,137,1
"Alabama","Morgan",2024,213,144,69,0,0,0,0,79,59,45,0,0,72,141,0
"Alabama","Russell",2024,168,137,31,0,0,0,0,98,55,42,0,0,117,51,0
"Alabama","Shelby",2024,153,141,12,0,0,0,0,97,48,39,0,0,153,0,0
"Alabama","Sumter",2024,213,185,28,0,0,0,0,72,52,35,0,0,86,127,0
"Alabama","Tuscaloosa",2024,212,185,25,2,0,0,0,125,53,36,0,0,108,104,0
"Alaska","Aleutians East ",2024,20,19,1,0,0,0,0,53,46,19,0,0,0,20,0
"Alaska","Anchorage ",2024,183,145,38,0,0,0,0,80,58,24,6,0,0,98,79
"Alaska","Denali ",2024,243,240,3,0,0,0,0,58,44,36,0,0,243,0,0
"Alaska","Fairbanks North Star ",2024,183,97,68,11,5,1,1,325,99,48,1,0,65,116,1
"Alaska","Juneau ",2024,175,150,25,0,0,0,0,73,54,24,0,0,0,175,0
"Alaska","Kenai Peninsula ",2024,20,20,0,0,0,0,0,16,14,7,0,0,0,20,0
"Alaska","Matanuska-Susitna ",2024,177,159,18,0,0,0,0,74,51,16,0,0,0,154,23
"Alaska","North Slope ",2024,20,20,0,0,0,0,0,32,22,8,0,0,0,20,0
"Arizona","Apache",2024,270,270,0,0,0,0,0,49,26,12,0,0,0,19,251
"Arizona","Cochise",2024,274,163,98,11,1,0,1,307,80,49,0,0,231,0,43
"Arizona","Coconino",2024,273,172,96,5,0,0,0,136,77,47,0,0,273,0,0
"Arizona","Gila",2024,274,123,122,27,2,0,0,159,101,54,0,0,259,0,15
"Arizona","La Paz",2024,271,142,125,4,0,0,0,105,77,50,0,0,267,4,0
"Arizona","Maricopa",2024,275,47,194,30,3,1,0,261,107,70,1,1,197,61,15
"Arizona","Mohave",2024,268,264,4,0,0,0,0,69,30,19,0,0,0,0,268
"Arizona","Navajo",2024,274,274,0,0,0,0,0,45,19,11,0,0,0,6,268
"Arizona","Pima",2024,275,105,159,9,2,0,0,171,90,58,1,0,201,43,30
"Arizona","Pinal",2024,260,81,147,30,1,1,0,289,108,64,0,0,182,34,44
"Arizona","Santa Cruz",2024,270,203,64,2,0,0,1,494,63,38,0,0,0,216,54
"Arizona","Yavapai",2024,273,145,126,2,0,0,0,115,84,50,0,0,273,0,0
"Arizona","Yuma",2024,274,169,103,2,0,0,0,102,74,46,0,0,177,47,50
"Arkansas","Arkansas",2024,91,54,37,0,0,0,0,98,59,46,0,0,0,91,0
"Arkansas","Ashley",2024,92,57,35,0,0,0,0,96,60,43,0,0,0,92,0
"Arkansas","Clark",2024,238,223,15,0,0,0,0,67,48,36,0,0,238,0,0
"Arkansas","Crittenden",2024,274,218,51,5,0,0,0,133,59,42,0,1,225,48,0
"Arkansas","Garland",2024,77,40,37,0,0,0,0,97,62,50,0,0,0,77,0
"Arkansas","Jackson",2024,89,64,25,0,0,0,0,95,58,39,0,0,0,89,0
"Arkansas","Newton",2024,274,262,12,0,0,0,0,79,48,39,0,0,269,5,0
"Arkansas","Polk",2024,232,180,51,0,1,0,0,167,57,41,0,0,161,71,0
"Arkansas","Pulaski",2024,275,104,167,3,0,1,0,205,74,53,1,0,56,218,0
"Arkansas","Union",2024,92,47,45,0,0,0,0,93,63,49,0,0,0,92,0
"Arkansas","Washington",2024,274,226,47,1,0,0,0,101,54,43,0,0,219,55,0
"California","Alameda",2024,61,52,9,0,0,0,0,63,55,39,1,2,18,40,0
"California","Amador",2024,179,152,27,0,0,0,0,100,61,39,0,0,179,0,0
"California","Butte",2024,193,145,48,0,0,0,0,93,61,42,1,0,145,46,1
"California","Calaveras",2024,151,121,29,1,0,0,0,101,64,41,0,0,121,30,0
"California","Colusa",2024,274,36,238,0,0,0,0,75,62,55,0,0,16,258,0
"California","Contra Costa",2024,61,42,19,0,0,0,0,67,58,42,1,0,13,47,0
"California","Del Norte",2024,129,108,21,0,0,0,0,66,53,34,0,0,0,129,0
"California","El Dorado",2024,182,141,36,5,0,0,0,115,67,41,0,0,178,1,3
"California","Fresno",2024,244,73,131,33,7,0,0,169,115,61,0,0,162,80,2
"California","Glenn",2024,152,138,14,0,0,0,0,61,50,38,0,0,112,38,2
"California","Humboldt",2024,305,269,36,0,0,0,0,86,52,35,0,0,110,188,7
"California","Imperial",2024,192,65,107,20,0,0,0,136,101,56,0,1,113,53,25
"California","Inyo",2024,272,93,162,10,2,1,4,1322,88,59,0,0,159,57,56
"California","Kern",2024,274,74,184,15,1,0,0,156,91,61,0,0,120,105,49
"California","Kings",2024,182,86,92,3,1,0,0,156,82,52,0,0,97,80,5
"California","Lake",2024,31,31,0,0,0,0,0,36,26,15,0,0,0,31,0
"California","Los Angeles",2024,245,36,124,45,34,6,0,230,164,75,1,1,150,90,3
"California","Madera",2024,182,119,60,3,0,0,0,122,64,45,0,0,132,50,0
"California","Marin",2024,61,59,2,0,0,0,0,59,38,29,1,3,47,10,0
"California","Mariposa",2024,244,175,65,4,0,0,0,133,77,45,0,0,232,12,0
"California","Merced",2024,182,110,67,5,0,0,0,133,74,47,0,0,124,57,1
"California","Mono",2024,182,170,12,0,0,0,0,69,40,18,0,0,0,91,91
"California","Monterey",2024,183,150,33,0,0,0,0,68,54,39,1,0,115,65,2
"California","Nevada",2024,182,159,23,0,0,0,0,97,51,34,0,0,135,47,0
"California","Orange",2024,245,105,133,7,0,0,0,126,71,52,1,8,102,133,1
"California","Placer",2024,213,116,82,15,0,0,0,140,93,49,0,0,163,50,0
"California","Plumas",2024,184,89,92,3,0,0,0,107,84,52,0,0,0,184,0
"California","Riverside",2024,245,37,114,52,35,7,0,213,174,84,1,0,157,65,22
"California","Sacramento",2024,243,167,73,3,0,0,0,119,62,44,0,0,115,128,0
