age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
69,self-employed,divorced,secondary,no,20406,no,no,telephone,16,apr,350,7,148,7,unknown,yes
32,self-employed,single,secondary,no,49190,yes,no,cellular,19,jun,588,5,138,1,other,no
89,services,single,secondary,no,45284,yes,no,cellular,15,feb,789,3,291,2,unknown,no
78,unemployed,divorced,secondary,yes,43200,no,no,cellular,25,apr,263,5,117,3,unknown,no
38,admin.,single,tertiary,no,49002,yes,no,unknown,30,jul,659,3,245,8,failure,yes
41,admin.,divorced,secondary,no,5432,yes,no,cellular,16,jul,801,3,96,0,other,no
20,services,married,tertiary,yes,16837,no,no,telephone,6,jan,259,1,168,6,other,yes
39,housemaid,single,primary,no,13148,yes,no,cellular,27,oct,831,4,308,1,unknown,yes
70,management,single,secondary,no,9194,no,no,telephone,15,dec,782,9,376,4,other,no
19,services,divorced,primary,no,30591,yes,no,unknown,12,sep,361,6,65,0,other,no
47,management,divorced,primary,no,12819,yes,no,cellular,22,jul,723,6,54,5,unknown,no
55,technician,divorced,tertiary,no,4625,yes,no,cellular,12,nov,501,6,44,2,success,yes
19,housemaid,divorced,secondary,no,5404,yes,no,cellular,10,jun,346,5,3,5,unknown,no
81,retired,single,tertiary,no,12674,no,no,telephone,21,feb,130,2,54,7,success,no
77,management,married,primary,no,8507,no,no,cellular,15,jun,277,5,149,7,success,yes
38,self-employed,married,secondary,no,18387,no,yes,cellular,23,may,509,3,316,3,failure,no
50,technician,married,primary,no,16697,yes,no,cellular,27,sep,890,2,139,6,success,no
75,self-employed,married,primary,no,35391,no,no,cellular,4,dec,899,4,313,5,other,no
39,housemaid,divorced,secondary,no,17547,no,yes,cellular,10,jan,654,9,282,1,unknown,no
66,management,single,secondary,no,21570,yes,no,telephone,26,may,250,7,4,5,other,yes
76,entrepreneur,single,secondary,no,37783,no,no,telephone,19,mar,368,9,187,1,success,no
59,housemaid,single,tertiary,no,26037,yes,yes,cellular,23,sep,177,3,315,3,unknown,yes
77,housemaid,divorced,tertiary,no,28083,yes,no,cellular,14,dec,928,2,217,4,unknown,yes
32,entrepreneur,single,primary,no,46029,no,no,cellular,10,jan,325,9,171,8,unknown,no
79,technician,divorced,secondary,no,38550,no,yes,telephone,17,jun,738,6,91,2,unknown,yes
79,management,single,primary,no,35982,yes,no,cellular,22,mar,436,4,10,4,failure,yes
64,management,married,primary,no,37706,yes,no,cellular,29,jan,610,4,161,1,failure,yes
79,unemployed,divorced,primary,no,988,no,no,cellular,27,nov,507,6,316,2,failure,yes
68,self-employed,single,primary,no,3156,no,no,telephone,27,mar,829,7,366,4,unknown,no
72,housemaid,married,primary,no,36280,yes,yes,cellular,11,feb,53,5,3,6,other,no
81,housemaid,married,secondary,no,7788,yes,no,cellular,18,oct,910,8,64,5,success,yes
20,student,married,tertiary,no,12185,yes,yes,cellular,2,dec,976,1,201,1,failure,yes
68,retired,divorced,secondary,no,16734,no,no,cellular,11,dec,912,1,322,8,other,no
24,housemaid,divorced,secondary,yes,7971,yes,no,cellular,8,dec,215,4,340,7,failure,yes
38,blue-collar,single,secondary,no,41408,yes,no,cellular,19,aug,199,8,191,8,failure,no
56,retired,married,tertiary,no,4487,yes,no,cellular,25,mar,832,8,363,8,success,yes
35,blue-collar,single,tertiary,no,18997,no,no,telephone,16,nov,573,6,368,4,unknown,no
21,management,single,tertiary,no,44456,no,no,cellular,4,jul,467,5,334,6,other,yes
77,retired,married,secondary,no,10452,no,no,cellular,14,oct,330,2,64,6,failure,no
31,housemaid,single,tertiary,no,13372,yes,no,cellular,22,jun,717,5,167,9,unknown,no
26,entrepreneur,divorced,primary,yes,42767,yes,no,cellular,17,jul,393,5,153,8,other,no
70,self-employed,single,tertiary,no,11434,no,no,cellular,11,nov,883,2,74,8,failure,no
19,blue-collar,married,secondary,no,10416,no,no,telephone,26,jul,206,8,259,5,unknown,yes
77,unemployed,divorced,secondary,no,17248,no,no,cellular,26,oct,831,5,131,2,success,no
88,retired,divorced,primary,no,44713,no,yes,telephone,3,jan,173,5,340,7,failure,yes
61,housemaid,single,tertiary,no,26194,no,no,telephone,4,apr,552,1,139,0,unknown,no
25,retired,single,tertiary,no,31785,no,no,cellular,21,apr,510,1,334,9,success,yes
64,housemaid,divorced,primary,no,35458,no,no,telephone,13,may,521,1,344,3,unknown,no
52,housemaid,single,secondary,no,6373,no,no,cellular,17,oct,515,8,135,9,failure,yes
53,housemaid,married,secondary,no,28283,yes,yes,cellular,30,may,688,2,174,1,success,no
67,student,single,tertiary,no,27415,yes,yes,unknown,20,aug,889,8,286,4,failure,yes
21,self-employed,single,tertiary,no,24414,no,no,cellular,21,apr,954,6,337,6,unknown,yes
19,entrepreneur,divorced,tertiary,no,12378,yes,no,cellular,20,jan,514,5,34,0,unknown,no
23,entrepreneur,single,tertiary,no,49603,no,no,cellular,10,may,851,6,141,3,failure,yes
71,retired,single,tertiary,no,16336,yes,no,cellular,26,jan,466,4,135,2,failure,no
21,retired,single,secondary,yes,2700,yes,yes,cellular,23,dec,224,3,14,3,other,no
71,housemaid,married,secondary,no,11901,yes,no,unknown,24,mar,495,4,248,5,other,yes
80,student,single,secondary,no,22838,yes,no,cellular,12,aug,105,9,4,9,failure,yes
