college,income,data_overage_mb,data_leftover_mb,data_mb_used,text_message_count,house,handset_price,over_15mins_calls_per_month,average_call_duration,reported_satisfaction,reported_usage_level,considering_change_of_plan,leave,id,operating_system
one,403137.0,70,0.0,6605.0,199,841317,653.0,5.0,8.0,low,low,yes,LEAVE,8183,Android
zero,129700.0,67,16.0,6028.0,134,476664,1193.0,5.0,5.0,low,low,yes,LEAVE,12501,IOS
zero,69741.0,60,0.0,1482.0,176,810225,1037.0,3.0,8.0,low,low,yes,STAY,7425,IOS
one,377572.0,0,22.0,3005.0,184,826967,1161.0,0.0,5.0,low,low,no,LEAVE,13488,IOS
zero,382080.0,0,0.0,1794.0,74,951896,1023.0,0.0,14.0,low,low,yes,STAY,11389,IOS
zero,309746.0,0,56.0,2675.0,81,1272862,1200.0,5.0,1.0,low,high,yes,STAY,14674,IOS
one,325592.0,79,24.0,7300.0,190,472330,1083.0,5.0,6.0,low,avg,yes,LEAVE,19100,IOS
one,131230.0,0,0.0,4489.0,89,613744,365.0,5.0,10.0,low,high,yes,STAY,18170,Android
one,193667.0,0,0.0,1023.0,76,949829,347.0,1.0,8.0,high,low,no,LEAVE,3201,Android
one,419573.0,0,74.0,4631.0,209,818027,640.0,0.0,2.0,low,low,yes,LEAVE,12612,Android
zero,262085.0,222,17.0,530.0,95,781944,692.0,10.0,1.0,high,high,yes,LEAVE,3266,Android
one,310841.0,74,14.0,7025.0,180,979451,835.0,3.0,5.0,high,low,no,STAY,13155,IOS
zero,398292.0,0,0.0,3681.0,93,878343,248.0,0.0,9.0,avg,avg,no,LEAVE,1491,Android
zero,192245.0,96,40.0,4806.0,139,1141088,476.0,4.0,2.0,low,high,yes,LEAVE,13418,Android
one,67952.0,263,13.0,4544.0,183,378271,308.0,,4.0,avg,high,yes,LEAVE,7774,Android
zero,230792.0,169,0.0,7653.0,196,496113,1281.0,10.0,14.0,low,low,,LEAVE,16771,IOS
one,236152.0,0,21.0,3881.0,189,1364832,745.0,13.0,6.0,high,low,yes,STAY,3335,Android
one,422168.0,0,10.0,794.0,213,909127,874.0,1.0,4.0,high,low,yes,STAY,80,IOS
zero,221813.0,216,0.0,6803.0,98,612697,1335.0,14.0,9.0,low,low,no,LEAVE,18537,IOS
zero,72590.0,0,34.0,2142.0,106,-463,469.0,0.0,1.0,low,low,no,LEAVE,3419,Android
zero,260331.0,70,0.0,5738.0,186,1076046,776.0,3.0,12.0,avg,high,yes,STAY,10606,Android
one,193768.0,194,56.0,1485.0,99,996342,815.0,18.0,2.0,high,high,yes,LEAVE,10141,IOS
zero,360215.0,0,6.0,7409.0,149,629909,1240.0,0.0,5.0,low,low,no,STAY,11575,IOS
one,177897.0,69,16.0,3542.0,114,920016,1339.0,5.0,9.0,low,high,,STAY,7954,IOS
zero,394220.0,197,51.0,4214.0,96,1080374,397.0,12.0,1.0,low,high,yes,LEAVE,5848,Android
zero,280581.0,0,0.0,1275.0,98,349262,359.0,1.0,,high,high,yes,LEAVE,13884,Android
one,87940.0,204,72.0,1413.0,177,895479,293.0,18.0,2.0,low,low,yes,STAY,3185,Android
one,324903.0,129,5.0,4056.0,204,368142,705.0,21.0,6.0,low,low,no,LEAVE,13678,Android
one,324903.0,129,5.0,4056.0,204,368142,705.0,21.0,6.0,low,low,no,LEAVE,13678,Android
zero,72637.0,185,0.0,4333.0,215,772739,701.0,13.0,14.0,low,low,no,LEAVE,3743,Android
one,103540.0,0,9.0,3072.0,153,708011,704.0,1.0,5.0,low,low,yes,LEAVE,7010,Android
one,103540.0,0,9.0,3072.0,153,708011,704.0,1.0,5.0,low,low,yes,LEAVE,7010,Android
one,103540.0,0,9.0,3072.0,153,708011,704.0,1.0,5.0,low,low,yes,LEAVE,7010,Android
zero,52778.0,194,54.0,4271.0,117,1142820,950.0,20.0,2.0,low,high,yes,LEAVE,6161,IOS
zero,350550.0,0,38.0,7704.0,144,1137152,652.0,0.0,1.0,low,high,yes,STAY,7768,Android
zero,183141.0,0,0.0,753.0,96,423547,484.0,1.0,15.0,low,high,yes,LEAVE,150,Android
zero,183582.0,0,21.0,3759.0,162,1073629,1088.0,0.0,5.0,high,high,no,STAY,1871,IOS
zero,340675.0,0,0.0,5768.0,69,1349678,898.0,0.0,12.0,low,low,yes,STAY,11613,IOS
zero,217908.0,68,0.0,704.0,77,1070431,488.0,5.0,11.0,low,low,yes,STAY,16722,Android
