created_at,text,conversation_id,edit_history_tweet_ids,possibly_sensitive,reply_settings,lang,author_id,id,entities.urls,entities.annotations,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,geo.place_id,attachments.media_keys,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,entities.hashtags,referenced_tweets,in_reply_to_user_id,username,name,location,keyword,entities.mentions,attachments.poll_ids,attachments.media_source_tweet_id,entities.cashtags,withheld.country_codes
2024-02-12T01:52:00.000Z,Fireman at the Superbowl https://t.co/AjqmmHvDQl,1.7568586602050153e+18,['1756858660205015180'],FALSE,everyone,en,520886265,1.7568586602050153e+18,"[{'start': 25, 'end': 48, 'url': 'https://t.co/AjqmmHvDQl', 'expanded_url': 'https://twitter.com/jerkinjerky/status/1756858660205015180/photo/1', 'display_url': 'pic.twitter.com/AjqmmHvDQl', 'media_key': '16_1756858650700681218'}]","[{'start': 15, 'end': 23, 'probability': 0.8274, 'type': 'Other', 'normalized_text': 'Superbowl'}]",5,TRUE,2024-02-12T02:52:00.000Z,7dda05213481260c,['16_1756858650700681218'],0,1,3,0,0,387,,,,jerkinjerky,Spencer's Jerkin' Jerky,"Gainesville, FL",max thieriot bode donovan,,,,,
2024-02-12T01:20:00.000Z,"Watch the #SuperBowl ads for #GhostsCBS, #FireCountry, #Shogun, #NCISverse, and more: https://t.co/Dkly3O76qN",1.756850607573623e+18,['1756850607573623005'],FALSE,everyone,en,18090782,1.756850607573623e+18,"[{'start': 86, 'end': 109, 'url': 'https://t.co/Dkly3O76qN', 'expanded_url': 'https://bit.ly/42FsYKr', 'display_url': 'bit.ly/42FsYKr', 'images': [{'url': 'https://pbs.twimg.com/news_img/1756828203946242048/TCiUQfIL?format=jpg&name=orig', 'width': 550, 'height': 308}, {'url': 'https://pbs.twimg.com/news_img/1756828203946242048/TCiUQfIL?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Watch the Best Super Bowl 2024 Ads - Give Me My Remote', 'description': 'Watch the best ads from Super Bowl LVIII.', 'unwound_url': 'https://www.givememyremote.com/remote/2024/02/11/watch-super-bowl-2024-ads/'}]","[{'start': 11, 'end': 19, 'probability': 0.9109, 'type': 'Other', 'normalized_text': 'SuperBowl'}, {'start': 30, 'end': 38, 'probability': 0.8801, 'type': 'Other', 'normalized_text': 'GhostsCBS'}, {'start': 42, 'end': 52, 'probability': 0.6352, 'type': 'Other', 'normalized_text': 'FireCountry'}, {'start': 56, 'end': 61, 'probability': 0.6013, 'type': 'Other', 'normalized_text': 'Shogun'}, {'start': 65, 'end': 73, 'probability': 0.53, 'type': 'Other', 'normalized_text': 'NCISverse'}]",5,TRUE,2024-02-12T02:20:00.000Z,,,0,0,2,0,0,478,"[{'start': 10, 'end': 20, 'tag': 'SuperBowl'}, {'start': 29, 'end': 39, 'tag': 'GhostsCBS'}, {'start': 41, 'end': 53, 'tag': 'FireCountry'}, {'start': 55, 'end': 62, 'tag': 'Shogun'}, {'start': 64, 'end': 74, 'tag': 'NCISverse'}]",,,GiveMeMyRemote,GiveMeMyRemote,Wherever the TV news is.,max thieriot bode donovan,,,,,
2024-02-12T01:15:36.000Z,Watch the #Tracker and #FireCountry #SuperBowl ads CBS just ran: https://t.co/fLfQh7t9Py https://t.co/F94ucNMwq9,1.7568281946475277e+18,['1756849502018064847'],FALSE,everyone,en,14541151,1.756849502018065e+18,"[{'start': 65, 'end': 88, 'url': 'https://t.co/fLfQh7t9Py', 'expanded_url': 'https://bit.ly/42FsYKr', 'display_url': 'bit.ly/42FsYKr', 'images': [{'url': 'https://pbs.twimg.com/news_img/1756828203946242048/TCiUQfIL?format=jpg&name=orig', 'width': 550, 'height': 308}, {'url': 'https://pbs.twimg.com/news_img/1756828203946242048/TCiUQfIL?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Watch the Best Super Bowl 2024 Ads - Give Me My Remote', 'description': 'Watch the best ads from Super Bowl LVIII.', 'unwound_url': 'https://www.givememyremote.com/remote/2024/02/11/watch-super-bowl-2024-ads/'}, {'start': 89, 'end': 112, 'url': 'https://t.co/F94ucNMwq9', 'expanded_url': 'https://twitter.com/marisaroffman/status/1756849502018064847/photo/1', 'display_url': 'pic.twitter.com/F94ucNMwq9', 'media_key': '3_1756849491460980736'}]","[{'start': 24, 'end': 34, 'probability': 0.5325, 'type': 'Other', 'normalized_text': 'FireCountry'}, {'start': 37, 'end': 45, 'probability': 0.8568, 'type': 'Other', 'normalized_text': 'SuperBowl'}, {'start': 51, 'end': 53, 'probability': 0.9685, 'type': 'Organization', 'normalized_text': 'CBS'}]",5,FALSE,2024-02-12T02:15:36.000Z,,['3_1756849491460980736'],0,1,1,0,0,698,"[{'start': 10, 'end': 18, 'tag': 'Tracker'}, {'start': 23, 'end': 35, 'tag': 'FireCountry'}, {'start': 36, 'end': 46, 'tag': 'SuperBowl'}]","[{'type': 'replied_to', 'id': '1756837595911496172'}]",14541151,marisaroffman,Marisa Roffman,,max thieriot bode donovan,,,,,
2024-02-12T01:15:17.000Z,I can't believe Norman Bates brother is a fire fighter now. #FireCountry #Superbowl,1.7568494204426813e+18,['1756849420442681386'],FALSE,everyone,en,103086570,1.7568494204426813e+18,,"[{'start': 16, 'end': 27, 'probability': 0.9743, 'type': 'Person', 'normalized_text': 'Norman Bates'}, {'start': 61, 'end': 71, 'probability': 0.6336, 'type': 'Other', 'normalized_text': 'FireCountry'}, {'start': 74, 'end': 82, 'probability': 0.8799, 'type': 'Other', 'normalized_text': 'Superbowl'}]",5,TRUE,2024-02-12T02:15:17.000Z,,,0,0,1,0,0,186,"[{'start': 60, 'end': 72, 'tag': 'FireCountry'}, {'start': 73, 'end': 83, 'tag': 'Superbowl'}]",,,geekmentality,Geek Mentality Mike,Massachusetts,max thieriot bode donovan,,,,,
2024-02-12T02:01:18.000Z,"👉 @NFL &amp; @fifa may be occut but some of the athletes are believers first &amp; brothers🙌 @Cristiano @TeamMessi @PatrickMahomes 

#superbowl #fifa #worldcup #messi #cristiano #lionelmessi #mahomes #patrickmahomes #Jesus #faith #brockpurdy #nfl https://t.co/37H5QYculL",1.7568610006937398e+18,['1756861000693739724'],FALSE,everyone,en,1.7477837524181975e+18,1.7568610006937398e+18,"[{'start': 247, 'end': 270, 'url': 'https://t.co/37H5QYculL', 'expanded_url': 'https://twitter.com/ryanadamtexas/status/1756861000693739724/photo/1', 'display_url': 'pic.twitter.com/37H5QYculL', 'media_key': '3_1756860998026178560'}, {'start': 247, 'end': 270, 'url': 'https://t.co/37H5QYculL', 'expanded_url': 'https://twitter.com/ryanadamtexas/status/1756861000693739724/photo/1', 'display_url': 'pic.twitter.com/37H5QYculL', 'media_key': '3_1756860998214942721'}, {'start': 247, 'end': 270, 'url': 'https://t.co/37H5QYculL', 'expanded_url': 'https://twitter.com/ryanadamtexas/status/1756861000693739724/photo/1', 'display_url': 'pic.twitter.com/37H5QYculL', 'media_key': '3_1756860998621843456'}]","[{'start': 145, 'end': 148, 'probability': 0.6324, 'type': 'Organization', 'normalized_text': 'fifa'}, {'start': 151, 'end': 158, 'probability': 0.649, 'type': 'Organization', 'normalized_text': 'worldcup'}, {'start': 161, 'end': 165, 'probability': 0.7827, 'type': 'Person', 'normalized_text': 'messi'}, {'start': 168, 'end': 176, 'probability': 0.7872, 'type': 'Person', 'normalized_text': 'cristiano'}, {'start': 179, 'end': 189, 'probability': 0.5693, 'type': 'Organization', 'normalized_text': 'lionelmessi'}, {'start': 192, 'end': 198, 'probability': 0.5379, 'type': 'Person', 'normalized_text': 'mahomes'}, {'start': 201, 'end': 214, 'probability': 0.816, 'type': 'Person', 'normalized_text': 'patrickmahomes'}, {'start': 217, 'end': 221, 'probability': 0.7841, 'type': 'Person', 'normalized_text': 'Jesus'}, {'start': 231, 'end': 240, 'probability': 0.4087, 'type': 'Person', 'normalized_text': 'brockpurdy'}, {'start': 243, 'end': 245, 'probability': 0.8521, 'type': 'Organization', 'normalized_text': 'nfl'}]",5,TRUE,2024-02-12T03:01:18.000Z,,"['3_1756860998026178560', '3_1756860998214942721', '3_1756860998621843456']",0,0,0,0,0,376,"[{'start': 133, 'end': 143, 'tag': 'superbowl'}, {'start': 144, 'end': 149, 'tag': 'fifa'}, {'start': 150, 'end': 159, 'tag': 'worldcup'}, {'start': 160, 'end': 166, 'tag': 'messi'}, {'start': 167, 'end': 177, 'tag': 'cristiano'}, {'start': 178, 'end': 190, 'tag': 'lionelmessi'}, {'start': 191, 'end': 199, 'tag': 'mahomes'}, {'start': 200, 'end': 215, 'tag': 'patrickmahomes'}, {'start': 216, 'end': 222, 'tag': 'Jesus'}, {'start': 223, 'end': 229, 'tag': 'faith'}, {'start': 230, 'end': 241, 'tag': 'brockpurdy'}, {'start': 242, 'end': 246, 'tag': 'nfl'}]",,,ryanadamtexas,Ryan Adam Texas,"Dallas, Texas USA",ultra beer,"[{'start': 2, 'end': 6, 'username': 'NFL', 'id': '19426551'}, {'start': 13, 'end': 18, 'username': 'fifa', 'id': '4366881'}, {'start': 93, 'end': 103, 'username': 'Cristiano', 'id': '155659213'}, {'start': 104, 'end': 114, 'username': 'TeamMessi', 'id': '1058376110'}, {'start': 115, 'end': 130, 'username': 'PatrickMahomes', 'id': '353178677'}]",,,,
2024-02-12T00:41:12.000Z,"🔴#XTREMO| #LionelMessi, #DanMarino and #JasonSudeikis en uno de los comerciales estelares del #SuperBowl para la cerveza #MichelobULTRA.🏈⚽️🍻

|#AhoraTabasco |#Deportes |#Noticias https://t.co/WTPUFpk4T5",1.7568408446512701e+18,['1756840844651270213'],TRUE,everyone,es,315278595,1.7568408446512701e+18,"[{'start': 179, 'end': 202, 'url': 'https://t.co/WTPUFpk4T5', 'expanded_url': 'https://twitter.com/AhoraTabasco/status/1756840844651270213/photo/1', 'display_url': 'pic.twitter.com/WTPUFpk4T5', 'media_key': '3_1756840800191918080'}]","[{'start': 11, 'end': 21, 'probability': 0.9452, 'type': 'Person', 'normalized_text': 'LionelMessi'}, {'start': 25, 'end': 33, 'probability': 0.8717, 'type': 'Person', 'normalized_text': 'DanMarino'}, {'start': 40, 'end': 52, 'probability': 0.8909, 'type': 'Person', 'normalized_text': 'JasonSudeikis'}, {'start': 95, 'end': 103, 'probability': 0.9002, 'type': 'Other', 'normalized_text': 'SuperBowl'}, {'start': 122, 'end': 134, 'probability': 0.4927, 'type': 'Other', 'normalized_text': 'MichelobULTRA'}, {'start': 144, 'end': 155, 'probability': 0.6278, 'type': 'Other', 'normalized_text': 'AhoraTabasco'}]",5,TRUE,2024-02-12T01:41:12.000Z,,['3_1756840800191918080'],0,1,1,0,0,176,"[{'start': 1, 'end': 8, 'tag': 'XTREMO'}, {'start': 10, 'end': 22, 'tag': 'LionelMessi'}, {'start': 24, 'end': 34, 'tag': 'DanMarino'}, {'start': 39, 'end': 53, 'tag': 'JasonSudeikis'}, {'start': 94, 'end': 104, 'tag': 'SuperBowl'}, {'start': 121, 'end': 135, 'tag': 'MichelobULTRA'}, {'start': 143, 'end': 156, 'tag': 'AhoraTabasco'}, {'start': 158, 'end': 167, 'tag': 'Deportes'}, {'start': 169, 'end': 178, 'tag': 'Noticias'}]",,,AhoraTabasco,Ahora Tabasco Noticias,"Villahermosa, Tabasco",ultra beer,,,,,
2024-02-12T00:18:22.000Z,"#LionelMessi, Dan ""The Man"" Marino and Jason Sudeikis star in new #SuperBowl spot for Michelob ULTRA 

Take a look  👉 https://t.co/EAHdLOfgnt https://t.co/Q7D1Qkz2xi",1.7568351000570716e+18,['1756835100057071637'],FALSE,everyone,en,116547240,1.7568351000570716e+18,"[{'start': 118, 'end': 141, 'url': 'https://t.co/EAHdLOfgnt', 'expanded_url': 'https://trib.al/tLscqj6', 'display_url': 'trib.al/tLscqj6', 'images': [{'url': 'https://pbs.twimg.com/news_img/1756015289232232448/sBtJhsn6?format=jpg&name=orig', 'width': 2048, 'height': 1152}, {'url': 'https://pbs.twimg.com/news_img/1756015289232232448/sBtJhsn6?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Every Must-See Commercial for Super Bowl LVIII (So Far)', 'description': 'The big game saw even bigger commercials as advertisers did their best to produce their most spectacular spots yet.', 'unwound_url': 'https://toofab.com/2024/02/01/every-must-see-commercial-for-super-bowl-lviii/?adid=toofab-tw'}, {'start': 142, 'end': 165, 'url': 'https://t.co/Q7D1Qkz2xi', 'expanded_url': 'https://twitter.com/TooFab/status/1756835100057071637/photo/1', 'display_url': 'pic.twitter.com/Q7D1Qkz2xi', 'media_key': '3_1756835097280491520'}]","[{'start': 1, 'end': 11, 'probability': 0.8717, 'type': 'Person', 'normalized_text': 'LionelMessi'}, {'start': 14, 'end': 16, 'probability': 0.5061, 'type': 'Person', 'normalized_text': 'Dan'}, {'start': 19, 'end': 25, 'probability': 0.6098, 'type': 'Other', 'normalized_text': 'The Man'}, {'start': 28, 'end': 33, 'probability': 0.5498, 'type': 'Person', 'normalized_text': 'Marino'}, {'start': 39, 'end': 52, 'probability': 0.7786, 'type': 'Person', 'normalized_text': 'Jason Sudeikis'}, {'start': 67, 'end': 75, 'probability': 0.5893, 'type': 'Other', 'normalized_text': 'SuperBowl'}, {'start': 86, 'end': 93, 'probability': 0.5082, 'type': 'Person', 'normalized_text': 'Michelob'}]",5,TRUE,2024-02-12T01:18:22.000Z,,['3_1756835097280491520'],0,0,4,0,0,786,"[{'start': 0, 'end': 12, 'tag': 'LionelMessi'}, {'start': 66, 'end': 76, 'tag': 'SuperBowl'}]",,,TooFab,TooFab,,ultra beer,,,,,
2024-02-12T00:16:14.000Z,#whataretheodds #SuperBowl #pringels #LionelMessi #michelob #lindor #Deadpool3 https://t.co/VcIQCvH9uI,1.7568345630938685e+18,['1756834563093868614'],FALSE,everyone,qme,1.6614942766251622e+18,1.7568345630938685e+18,"[{'start': 79, 'end': 102, 'url': 'https://t.co/VcIQCvH9uI', 'expanded_url': 'https://twitter.com/JimKruse01/status/1756834563093868614/photo/1', 'display_url': 'pic.twitter.com/VcIQCvH9uI', 'media_key': '3_1756834522493014016'}, {'start': 79, 'end': 102, 'url': 'https://t.co/VcIQCvH9uI', 'expanded_url': 'https://twitter.com/JimKruse01/status/1756834563093868614/photo/1', 'display_url': 'pic.twitter.com/VcIQCvH9uI', 'media_key': '3_1756834522497159168'}, {'start': 79, 'end': 102, 'url': 'https://t.co/VcIQCvH9uI', 'expanded_url': 'https://twitter.com/JimKruse01/status/1756834563093868614/photo/1', 'display_url': 'pic.twitter.com/VcIQCvH9uI', 'media_key': '3_1756834522555949056'}, {'start': 79, 'end': 102, 'url': 'https://t.co/VcIQCvH9uI', 'expanded_url': 'https://twitter.com/JimKruse01/status/1756834563093868614/photo/1', 'display_url': 'pic.twitter.com/VcIQCvH9uI', 'media_key': '3_1756834522597863424'}]",,5,TRUE,2024-02-12T01:16:14.000Z,,"['3_1756834522493014016', '3_1756834522497159168', '3_1756834522555949056', '3_1756834522597863424']",0,0,1,1,0,402,"[{'start': 0, 'end': 15, 'tag': 'whataretheodds'}, {'start': 16, 'end': 26, 'tag': 'SuperBowl'}, {'start': 27, 'end': 36, 'tag': 'pringels'}, {'start': 37, 'end': 49, 'tag': 'LionelMessi'}, {'start': 50, 'end': 59, 'tag': 'michelob'}, {'start': 60, 'end': 67, 'tag': 'lindor'}, {'start': 68, 'end': 78, 'tag': 'Deadpool3'}]",,,JimKruse01,Jim Kruse,,ultra beer,,,,,
2024-02-12T00:12:32.000Z,#michelob #LionelMessi #Deadpool3 #Wrexham #SuperBowl https://t.co/TtXhCbbjVx,1.7568336306749443e+18,['1756833630674944179'],FALSE,everyone,qme,1.6614942766251622e+18,1.7568336306749443e+18,"[{'start': 54, 'end': 77, 'url': 'https://t.co/TtXhCbbjVx', 'expanded_url': 'https://twitter.com/JimKruse01/status/1756833630674944179/photo/1', 'display_url': 'pic.twitter.com/TtXhCbbjVx', 'media_key': '3_1756833613704818688'}]",,5,TRUE,2024-02-12T01:12:32.000Z,,['3_1756833613704818688'],0,0,0,0,0,240,"[{'start': 0, 'end': 9, 'tag': 'michelob'}, {'start': 10, 'end': 22, 'tag': 'LionelMessi'}, {'start': 23, 'end': 33, 'tag': 'Deadpool3'}, {'start': 34, 'end': 42, 'tag': 'Wrexham'}, {'start': 43, 'end': 53, 'tag': 'SuperBowl'}]",,,JimKruse01,Jim Kruse,,ultra beer,,,,,
2024-02-12T00:09:37.000Z,"#Popeyes with #KenJeong. Okay.
#Michelob with #LionelMessi. Okay.

#SuperBowl Commercials",1.7568282686222254e+18,['1756832898051694733'],FALSE,everyone,en,105009063,1.7568328980516948e+18,,"[{'start': 15, 'end': 22, 'probability': 0.9549, 'type': 'Person', 'normalized_text': 'KenJeong'}, {'start': 32, 'end': 39, 'probability': 0.6554, 'type': 'Person', 'normalized_text': 'Michelob'}, {'start': 47, 'end': 57, 'probability': 0.9375, 'type': 'Person', 'normalized_text': 'LionelMessi'}, {'start': 68, 'end': 76, 'probability': 0.5573, 'type': 'Other', 'normalized_text': 'SuperBowl'}]",5,FALSE,2024-02-12T01:09:37.000Z,,,0,0,0,0,0,178,"[{'start': 0, 'end': 8, 'tag': 'Popeyes'}, {'start': 14, 'end': 23, 'tag': 'KenJeong'}, {'start': 31, 'end': 40, 'tag': 'Michelob'}, {'start': 46, 'end': 58, 'tag': 'LionelMessi'}, {'start': 67, 'end': 77, 'tag': 'SuperBowl'}]","[{'type': 'replied_to', 'id': '1756828268622225492'}]",105009063,BlackDesignTw,BlackDesignTw!tter™,On Tour,ultra beer,,,,,
